Gliese2 index,B-V color,absolute magnitude
GL768.1A,0.56,3.80
GL770.0,1.01,5.50
GL770.1,0.75,3.60
GL771.0A,0.86,3.00
GL772.0,0.26,13.51
GL773.0,1.30,8.20
GL773.1,0.05,3.60
GL773.2,0.80,6.00
GL773.3,0.58,4.10
GL773.4,0.49,3.90
GL775.0,1.12,6.90
GL775.1,0.72,5.40
GL776.0,0.65,4.70
GL777.0A,0.72,4.30
GL777.0B,1.57,13.00
GL778.0,0.82,5.90
GL779.0,0.61,4.58
GL779.1,0.91,6.40
GL780.0,0.76,4.76
GL781.2,1.12,7.60
GL782.0,1.29,7.90
GL783.0A,0.87,6.56
GL783.1A,0.63,5.40
GL783.1B,0.70,5.80
GL783.2A,0.85,5.70
GL783.2B,1.62,12.30
GL784.0,1.41,9.04
GL784.2A,1.54,11.70
GL784.2B,0.40,14.20
GL785.0,0.88,6.13
GL786.0,1.36,8.30
GL787.0,1.16,7.50
GL788.0,0.58,5.07
GL790.0,0.73,5.35
GL791.2,1.71,13.20
GL791.3,1.13,7.50
GL792.1A,0.69,4.10
GL793.0,1.59,10.95
GL793.1,0.79,5.60
GL794.0,-0.06,10.85
GL794.1,1.00,1.10
GL794.2,0.53,3.70
GL794.3,0.61,4.90
GL796.0,0.72,5.60
GL797.0A,0.62,4.80
GL798.0,1.31,8.45
GL803.0,1.44,8.87
GL804.0,1.43,9.00
GL805.0,0.43,3.70
GL806.1A,1.03,0.80
GL806.1B,1.66,11.70
GL807.0,0.92,2.72
GL808.1,0.36,3.30
GL808.2,1.06,7.10
GL808.3,0.65,4.70
GL809.0,1.49,9.18
GL811.0,0.50,4.00
GL812.0A,1.49,11.00
GL812.0B,1.13,15.80
GL812.1,0.59,4.70
GL814.0,0.67,5.80
GL816.1A,0.97,6.30
GL818.0,1.22,7.30
GL820.0A,1.17,7.58
GL820.0B,1.37,8.39
GL822.1C,1.53,10.50
GL822.2,0.89,5.70
GL824.0,1.02,7.00
GL825.0,1.38,8.75
GL825.1,0.69,5.00
GL825.2,0.65,5.00
GL825.3,0.99,6.54
GL826.0,0.22,1.50
GL826.1,1.35,7.90
GL827.0,0.49,4.53
GL827.1,0.93,6.60
GL828.0A,0.91,6.40
GL828.1,1.36,8.90
GL828.2,1.49,9.70
GL828.3,0.15,13.50
GL828.5,0.01,11.20
GL830.0,1.29,8.06
GL831.0,1.64,12.59
GL832.0,1.46,10.32
GL833.0,0.89,6.40
GL835.0,1.49,9.11
GL835.1,0.99,2.30
GL836.1,0.62,4.60
GL836.2,-0.02,11.40
GL836.3,1.04,7.20
GL836.7,0.58,4.80
GL836.8,1.34,8.10
GL837.0,0.29,2.00
GL837.1,-0.06,13.40
GL838.0,0.60,4.90
GL838.1A,1.04,6.90
GL838.1B,1.63,13.00
GL838.2,0.83,7.00
GL838.3A,0.78,6.20
GL838.5,0.38,3.20
GL839.0,1.40,8.50
GL840.0,0.92,6.10
GL844.0,1.58,10.30
GL845.0,1.05,7.00
GL846.0,1.47,9.20
GL847.1,0.85,6.50
GL848.0,0.44,3.14
GL848.2,-0.13,-0.20
GL848.4,0.75,5.40
GL849.0,1.52,10.67
GL849.1,0.49,3.60
GL850.0,0.82,5.80
GL851.2,0.65,4.80
GL851.3,0.89,5.10
GL851.5,1.49,8.70
GL855.0,1.51,9.50
GL857.0,0.67,4.50
GL860.0A,1.62,11.87
GL860.0B,1.80,13.30
GL861.0,1.42,13.00
GL862.0,1.10,7.10
